"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 25-Aug-2021","30 D % CHNG 
 26-Jul-2022"
"NIFTY MIDSMALLCAP 400","10,543.35","10,762.70","10,542.80","10,832.25","10,750.55","-81.70","-0.75",1018321411,"175,932,778,432.62","11,554.15","8,815.80","10.98","7.22"
"POLYMED","746.90","904.00","739.55","758.35","874.95","116.60","15.38",629033,"522,864,810.26","1,078.00","651.10","-19.63","0.05"
"MAZDOCK","344.95","403.55","342.00","354.15","399.00","44.85","12.66",17992529,"6,955,911,711.40","403.55","225.40","34.50","16.66"
"AEGISCHEM","264.80","298.00","261.10","267.30","294.30","27.00","10.10",6074801,"1,746,991,271.58","298.00","167.25","-3.97","-1.60"
"VAIBHAVGBL","309.05","340.00","305.20","309.05","339.35","30.30","9.80",1873800,"610,971,228.00","805.00","287.90","-56.84","-0.33"
"KRBL","280.45","304.90","276.80","282.30","304.90","22.60","8.01",2048164,"603,040,926.52","337.95","184.50","27.81","26.47"
"ESCORTS","1,770.00","1,988.90","1,770.00","1,837.40","1,930.85","93.45","5.09",2769405,"5,338,554,324.45","1,988.90","1,288.00","30.83","3.58"
"KALPATPOWR","385.00","417.00","380.00","390.65","408.00","17.35","4.44",887691,"357,943,641.93","452.65","331.80","-5.22","0.28"
"MMTC","41.50","44.80","40.60","42.20","44.05","1.85","4.38",6259100,"273,585,261.00","64.70","31.00","-7.51","7.14"
"SUVENPHAR","442.00","482.95","441.15","446.55","466.10","19.55","4.38",991697,"463,013,412.33","631.75","425.70","-17.04","-4.85"
"PRAJIND","380.00","417.00","380.00","389.95","406.85","16.90","4.33",3450938,"1,400,425,149.78","448.00","289.05","-","-3.82"
"HFCL","69.30","76.40","69.05","71.65","74.75","3.10","4.33",25474457,"1,885,874,051.71","101.35","51.55","-","11.12"
"MAPMYINDIA","1,253.00","1,345.00","1,252.00","1,281.35","1,336.00","54.65","4.27",295521,"390,613,747.38","1,917.40","1,128.80","-","-7.49"
"ASTERDM","213.85","228.90","209.65","215.55","224.55","9.00","4.18",1853939,"414,318,287.72","244.30","158.10","9.62","-6.12"
"SJVN","28.50","30.40","28.35","28.90","30.10","1.20","4.15",5397617,"159,175,725.33","33.75","25.45","10.02","0.71"
"INDIACEM","202.50","218.90","202.25","209.95","218.50","8.55","4.07",5789631,"1,237,128,352.08","259.95","145.45","29.59","11.15"
"PNCINFRA","270.00","290.95","264.25","273.40","284.15","10.75","3.93",1393389,"390,748,077.27","395.90","219.00","-15.86","4.90"
"HATHWAY","16.85","18.60","16.65","16.85","17.50","0.65","3.86",21181843,"379,790,444.99","27.60","14.35","-27.74","0.60"
"JUBLPHARMA","335.25","362.00","335.00","337.05","349.95","12.90","3.83",1162856,"410,267,225.36","677.85","281.80","-44.78","-5.37"
"COCHINSHIP","360.00","388.00","357.60","364.45","378.00","13.55","3.72",3024153,"1,145,276,982.63","388.00","280.75","-1.56","7.60"
"TTKPRESTIG","896.20","975.00","892.00","916.15","950.00","33.85","3.69",359163,"340,601,456.16","1,264.65","744.70","-89.78","2.23"
"RATNAMANI","1,809.80","1,930.00","1,760.00","1,834.60","1,900.00","65.40","3.56",95508,"179,667,739.44","1,930.00","1,237.07","-14.44","7.44"
"SAPPHIRE","1,213.00","1,301.00","1,213.00","1,258.90","1,300.00","41.10","3.26",123805,"158,736,580.75","1,540.00","909.00","-","7.64"
"RITES","294.00","302.75","290.75","290.40","299.00","8.60","2.96",1752644,"522,358,017.76","317.90","226.20","9.71","12.46"
"PCBL","123.50","130.40","121.00","126.00","129.55","3.55","2.82",2128299,"270,677,066.82","138.65","89.00","-","3.50"
"TCNSBRANDS","576.50","613.45","573.00","579.35","594.45","15.10","2.61",157121,"94,267,886.37","932.00","494.10","-4.46","-1.83"
"ATGL","3,301.00","3,550.00","3,301.00","3,459.65","3,548.00","88.35","2.55",608809,"2,119,051,045.85","3,550.00","1,238.75","-","16.11"
"SUNTECK","450.00","474.85","450.00","460.30","471.85","11.55","2.51",377656,"176,576,839.36","589.90","347.00","29.56","-7.67"
"IDFC","63.50","69.75","63.45","66.55","68.20","1.65","2.48",16072728,"1,083,623,321.76","70.20","42.20","39.72","26.34"
"BHEL","56.00","60.70","55.60","57.85","59.25","1.40","2.42",64083519,"3,780,286,785.81","80.35","41.40","8.19","10.48"
"TATACHEM","1,051.00","1,137.00","1,051.00","1,110.60","1,136.90","26.30","2.37",2469682,"2,749,867,422.90","1,182.20","773.35","33.78","26.17"
"SKFINDIA","4,615.00","4,849.00","4,578.75","4,709.55","4,820.55","111.00","2.36",77811,"371,896,118.28","4,880.00","2,771.10","72.40","18.60"
"TCIEXP","1,760.00","1,825.00","1,743.55","1,783.50","1,824.00","40.50","2.27",35174,"63,178,131.84","2,572.00","1,390.50","26.80","2.24"
"NH","675.00","708.80","675.00","686.30","701.85","15.55","2.27",233690,"163,349,310.00","777.00","485.05","44.06","13.66"
"CSBBANK","198.00","213.45","198.00","203.05","207.40","4.35","2.14",434452,"90,031,487.96","336.90","178.00","-31.82","2.87"
"SUDARSCHEM","445.00","463.50","443.05","453.60","463.00","9.40","2.07",80069,"36,585,127.48","722.40","402.00","-25.09","-2.19"
"COROMANDEL","1,030.00","1,065.00","1,012.25","1,039.15","1,060.60","21.45","2.06",871452,"915,442,896.96","1,092.95","709.35","30.65","0.76"
"RADICO","996.10","1,065.00","996.10","1,037.55","1,058.00","20.45","1.97",483822,"505,903,636.08","1,294.00","723.20","17.96","6.11"
"RVNL","31.75","33.40","31.50","32.30","32.90","0.60","1.86",7743208,"253,977,222.40","44.80","27.70","13.90","2.44"
"FINPIPE","144.80","149.50","142.00","145.35","148.00","2.65","1.82",872204,"127,804,052.12","244.50","125.00","-13.41","10.58"
"STLTECH","165.55","174.85","164.05","170.35","173.40","3.05","1.79",1753690,"300,214,191.10","317.40","128.60","-38.16","24.10"
"APTUS","331.55","359.65","331.55","349.35","355.50","6.15","1.76",551517,"192,997,858.98","394.90","220.10","-4.58","20.62"
"PHOENIXLTD","1,336.00","1,429.85","1,336.00","1,397.65","1,421.05","23.40","1.67",254716,"355,754,195.72","1,445.95","827.25","67.40","17.48"
"NHPC","34.50","36.25","34.50","35.55","36.10","0.55","1.55",18411113,"653,410,400.37","37.60","26.30","33.90","7.12"
"LAURUSLABS","550.00","578.60","548.10","567.25","576.00","8.75","1.54",1124459,"642,167,290.31","678.45","436.80","-15.31","18.48"
